0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
320727,271923,420205,654824,612536,701415,584292,536729,638339,719107,627732,644531,648983,624817,172521,214815,172268,120749,148346,145535,166313,42240,395858,274053,244799,338495,162981,308471,296749,284932,177468,154261,170401,134465,237491,352841,275583,30946,13019,13604,168186,45640,0,323598,280159,232259,211217,181924,101233,324198,233638,270716,172852,34131,17936,144896,77192,250020,204190,10062,270903,609818,150984,270090,389115,217660,291153,317567,546819,537937,544733,292391,277057,335098,542890,348179,619456,193031,228291,167356,60355
306474,456784,503612,933262,890974,979853,862729,815166,916777,997545,906170,922969,927421,903255,502718,545222,357129,449804,323019,329022,351175,354459,479265,135665,429660,300833,492515,296724,100824,151485,478592,509650,500807,483803,561993,272211,460444,331810,311781,341473,362094,326361,324398,0,221869,258513,540272,308952,430288,12890,260278,228654,501907,362449,319687,392945,405509,236624,533245,343517,236625,395109,338769,208153,101064,274642,221838,474171,408845,399963,406759,459618,572643,454006,392324,331784,890071,517533,350050,222703,322001
434045,486215,533042,915442,873154,962032,844909,797346,898956,979724,888350,905148,909600,885435,433138,475432,386560,381366,352449,358452,380605,308104,508695,288800,459090,451812,423598,421789,278976,299679,438086,414879,431018,395083,498108,466159,489874,296811,292032,263278,153941,239900,283368,223031,0,50360,398952,100799,282679,212041,45339,9988,433470,264152,299813,184792,240858,37786,412897,284334,15476,334016,130616,38327,200034,60087,14350,266018,314049,305167,311963,251465,364490,245853,310119,110635,880073,453648,141897,252133,272292
469768,489065,568765,866719,824431,913309,796186,748623,850233,931001,839626,856425,860877,836711,384415,426709,389410,332643,365487,362676,383455,259381,544418,324523,461940,487536,374875,457512,314699,335402,389363,366156,382295,346359,449385,501882,492724,248088,243309,214555,105218,191177,234645,258754,49920,0,350229,52076,233956,247765,13998,40477,384747,215428,251090,136069,192135,37672,364174,235611,55527,379579,81893,57374,235757,18301,60914,217295,327178,318297,325093,202742,315767,197130,323249,128539,831350,404925,93174,287857,298505
410661,296187,510139,576943,534655,623533,506410,458847,560458,641225,549851,566650,571102,546936,102489,151888,250380,126085,281699,266997,243681,222253,485792,493424,283715,428429,114931,398405,515549,504303,130641,101288,113222,111947,162366,442775,296853,211071,220350,210725,269567,233917,210072,538545,398304,350403,0,300068,118135,539145,351783,388861,43359,202106,221069,232860,160677,372838,16064,202546,389048,727963,269252,392909,584141,335805,409298,392485,664963,656082,662878,404665,351975,453242,661034,466324,541574,118217,346436,375287,254519
460476,438510,559473,816164,773876,862755,745631,698069,799679,880447,789072,805871,810323,786157,333861,376155,338855,282089,314933,312122,332901,208827,535125,342766,411386,478243,324321,448220,356441,353644,338808,315601,331740,295805,398830,439897,442170,197533,192755,164000,54664,140623,184091,308955,100121,52221,299674,0,183402,297966,53600,90678,334192,164874,200535,85514,141580,87873,313620,185056,90865,429780,31339,107575,285958,37622,111115,196386,366780,357899,364695,181833,265213,174143,362851,168141,780796,354370,70187,263993,247950
387743,338939,487220,663996,621708,710586,593463,545900,647511,728278,636904,653702,658155,633989,181693,223987,239284,129921,215361,212550,233329,109255,462873,376002,311814,405510,172152,375487,398698,386881,186640,163433,179572,143637,246662,419856,342599,98073,107352,97727,152859,107712,97074,425547,281595,233695,118326,183359,0,426147,235074,272152,159566,85398,108071,116152,43968,256130,132272,89548,272339,611254,152544,276200,467432,219096,292589,288159,548255,539373,546169,300339,247649,336534,544326,349615,628627,202202,229727,269305,141521
306231,456542,503369,933019,890731,979610,862487,814924,916534,997302,905927,922726,927178,903012,502476,544979,356887,449561,322777,328779,350932,354216,479022,135422,429417,300591,492272,296481,100581,151242,478349,509407,500564,483560,561750,271968,460201,331567,311538,341230,350795,326118,324155,13014,210570,247214,540029,297653,430045,0,248979,217355,501664,362206,319444,381646,437711,225325,533002,343275,225326,377120,327470,196854,83075,263343,210539,462872,397546,388664,395460,448319,561344,442707,373064,320485,889828,517290,338751,222461,321758
471754,490005,570751,867659,825371,914250,797126,749563,851174,931941,840567,857366,861818,837652,385356,427650,390350,333584,366428,363617,384396,260322,546404,326509,462881,489521,375816,459498,316685,337387,390303,367096,383235,347300,450325,503867,493665,249028,244250,215495,106159,192118,235586,260740,44485,13599,351169,53016,234897,249750,0,35042,385687,216369,252030,137009,193075,40117,365115,236551,40299,375145,82834,59819,237742,17352,55479,212914,316215,307333,314129,198361,316708,192749,312286,117575,832291,405865,88793,289842,299445
440354,492524,539351,905267,862979,951857,834734,787171,888782,969549,878175,894974,899426,875260,422964,465258,392869,371192,358758,364761,386914,297930,515004,295109,465399,458122,413423,428098,285285,305988,427911,404704,420843,384908,487933,472468,496183,286636,281857,253103,143767,229725,273194,229340,12650,40185,388777,90624,272505,218350,35164,0,423295,253977,289638,174617,230683,39957,402723,274159,17194,343310,120441,59658,206343,49913,23645,255844,323343,314461,321257,241291,354316,235678,319414,123941,869898,443473,131722,258442,268812
